priority,index,name,namespace,tier,dev_calls_biased,schema_bytes,description,rationale
2,0,search_site_content,content,1,393,2237,"Search a single site's indexed content using semantic similarity — understands meaning, not just keywords. ""Optimize images"" also matches posts about compression, WebP, lazy loading, and CDN. The site must be indexed — run reindex_site if results are missing or stale. For searching across all sites simultaneously, use search_across_sites. Works for both local sites (by name/domain) and WPE installs (by install name, e.g. ""localwpe""). WPE install content is not indexed by reindex_site, which is local-only. Run `wpe_sync_sites` with `content: true` to index WP Engine install content for search. Returns ranked results with titles, excerpts, relevance scores, and customFields (when indexed). For attribute/constraint questions (e.g. ""easy"", ""under $20"", ""in <region>"", a range or category), first call describe_site_fields to see the site's structured fields, then search here with searchMode:""hybrid"", postType, and metadataFilters:[{field,op,value}] (op ∈ eq|ne|lt|lte|gt|gte|contains).",
2,1,search_across_sites,content,1,74,788,"Search across ALL indexed sites simultaneously using semantic similarity — finds relevant content regardless of which site has it. Returns results ranked by relevance with site name, post title, and excerpt. Use when you do not know which site has the content you are looking for. For a single site, use search_site_content. Sites must be indexed — run bulk_reindex if results are missing.",
3,2,get_all_site_documents,content,1,2,919,"Returns all indexed documents for a site with optional embeddings. Used for topical clustering and semantic analysis. Returns empty array result if site has not been indexed. When include_embeddings is true, embeddings are returned as base64-encoded Float32 arrays.","content ops = JTBD 12, lowest commercial weight"
2,3,describe_site_fields,content,1,86,722,"Discover a site's indexed structured custom fields, grouped by post type, with each field's inferred type and value range/enum and coverage. Call this before answering attribute/constraint questions (e.g. ""easy"", ""under $20"", ""in <region>"") so you know which fields exist and how to filter. Then call search_site_content with searchMode:""hybrid"", postType, and metadataFilters. Works for local sites (name/ID/domain) and WPE installs (install name). The site must be indexed.",
2,4,get_site_structure,content,1,457,922,"Get deep structural context for a WordPress site — WP/PHP/MySQL versions, plugins (active/inactive) with versions, themes, post counts, site URL, user/role summary, REST API namespaces, permalink structure, site health indicators, WooCommerce/ACF detection, and custom table detection. Basic metadata (versions, plugins, post counts) is available even for halted sites. DB-backed details (users, custom tables, REST API) require a prior content index. LOCAL SITES ONLY — all three of its data tiers are keyed by Local site id or read Local's filesystem, so a WP Engine install or external SSH host is declined; use nexus_get_site_twin or get_site_health for those. Use before making structural changes or to give an AI agent full site context.",
2,5,get_index_status,content,1,114,524,"Get the content index status for a specific site — document count, chunk count, last indexed timestamp, and index freshness indicator. Use to confirm a site has been indexed before running search_site_content or fleet searches. If the index is stale, trigger a fresh index with reindex_site.last indexed time, indexing duration, and current state.",plumbing for site search
3,6,list_indexed_sites,content,1,45,423,"List all sites with their content index status — document count, chunk count, last indexed timestamp, and whether the index is fresh or stale. Use to identify sites that need reindexing before a search or audit. For a single site detailed index status, use get_index_status.Shows which sites have been indexed and are searchable.","content ops = JTBD 12, lowest commercial weight"
2,7,reindex_site,content,2,91,565,"Trigger a complete re-index for a site — drops existing index data and rebuilds from the current content. Use after major content migrations, large plugin changes, or when search results are outdated. A halted site is started, indexed, and stopped again automatically. ASYNC: indexing runs in the background and this returns an operation id immediately — check progress with get_index_status.",plumbing for site search (search is b2)
3,8,nexus_site_refresh,nexus,2,4,629,"Refresh the cached data (digital twin) for a single Local site. Always runs a filesystem scan to update WP version and installed plugins/themes. If the site is running, also enriches with WP-CLI data: active plugin/theme status, post counts, admin email, site URL. Use before asking questions about a halted or recently-changed site.",
3,9,nexus_fleet_refresh,fleet,2,0,389,Refresh the cached data (digital twin) for all Local sites at once. Runs a filesystem scan for every site (halted or running) to update WP version and installed plugins/themes. Enriches running sites with WP-CLI data. Use after major changes or when twin data seems stale across multiple sites.,
1,10,nexus_site_status,nexus,1,4,496,"Show what cached data exists for a Local site (the digital twin) and how fresh it is. Reports scan depth (filesystem vs full), age of each data category, and what is missing. Use to understand data quality before asking questions about plugins, versions, or content. Run nexus_site_refresh if data is missing or stale.",twin status read
2,11,nexus_get_site_twin,nexus,1,0,789,"Get the complete digital twin for a Local site — a unified, freshness-aware snapshot of everything Nexus knows about the site: WP version, PHP, plugins (with active status), themes, post counts, content index state, WPE link, and usage metrics. Each field carries provenance (how it was obtained, how old it is). Use this before answering questions about a site — it tells you what you know and how confident you should be. Call nexus_site_refresh first if data is missing or stale.",
3,12,nexus_get_fleet_twins,nexus,1,0,572,"Get a completeness and freshness overview of the digital twin for every local site. Returns a summary table showing what data is available (none/filesystem/metadata/indexed), how old it is, and which sites need refreshing. Use as a fleet health check before running bulk operations or answering cross-site questions.",
3,13,ask_ollama,ollama,1,24,968,"Send a prompt to a locally running Ollama model for on-device AI inference — no API key required. Requires Ollama installed and running (download from ollama.com). Optionally inject site context (site=) to give the model awareness of a site theme, plugins, and WP version. Use list_ollama_models to see available models. For cloud AI (Anthropic/OpenAI), configure in Nexus AI Preferences and use the AI Gateway.Supports optional model selection, system prompts, and site context injection.",
3,14,list_ollama_models,ollama,1,60,419,"List available Ollama models installed on the local machine — model name, size, and last modified date. Use before ask_ollama to confirm a model is available, or to choose between models based on size and capability. Requires Ollama to be installed and running. Download new models with ""ollama pull modelname"" in terminal.",
1,15,fleet_summary,fleet,1,22,620,"Aggregate overview across ALL WordPress sites — local + WP Engine. Returns WordPress/PHP version distribution, most common plugins, and integration presence (WooCommerce, ACF). IMPORTANT: The ""Content"" section shows vector index counts (documents and chunks) — these are NOT WordPress post counts. A single post produces 3-6 index chunks. For actual WordPress post/page counts, use fleet_sql or nexus_get_site_twin. Reads from index registry (local) and graph.db (WPE). Use for version distribution or plugin inventory snapshots.",fleet visibility
1,16,find_sites_with_plugin,fleet,1,69,796,"Find all indexed sites that have a specific plugin installed — matches by slug (exact) or plugin name (case-insensitive substring). Works even when sites are stopped — reads from the content index. Returns site names, plugin version, and active/inactive status, plus when each fact was last observed (provenance-stamped from the intelligence ledger where available). Use before bulk updates to identify which sites have a specific plugin, or for security audits.Matches by slug (exact) or name (case-insensitive substring). Works even when sites are stopped.",vuln triage: which sites run the CVE plugin (JTBD 4/6)
1,17,find_sites_with_theme,fleet,1,23,693,"Find all indexed sites that have a specific theme installed — matches by theme name or slug. Works even when sites are stopped — reads from the content index. Returns site names, theme version, and active/inactive status. Use for theme migration planning or to identify sites using a specific theme before updates.Matches by slug (exact) or name (case-insensitive substring). Shows active status and child theme info. Works even when sites are stopped.",same triage for themes
1,18,find_outdated_sites,fleet,1,32,989,"Identify sites running older versions of WordPress, PHP, or plugins compared to the latest available versions. Labels each result as [local] or [wpe] and accepts a source filter (wpe or local). Use for prioritizing update work, or to identify sites that need maintenance before go-live. For remote WPE plugin updates, use wp_plugin_update with install_name=.the rest of your fleet. Reads from the local graph DB — works for both local sites (after WordPress connector events) and WP Engine installs (after WPE sync). Each site labeled [local] or [wpe]. Filter by source to focus on live WPE environments.",the update loop starts here (JTBD 1)
1,19,verify_site_live,other,2,13,1005,"Re-observe a site live and reconcile the intelligence ledger: fetches the current plugin state through the real transport (local site, WPE install via SSH, or external SSH host), compares it against the cached twin observations, records fresh provenance-stamped observations, and reports exactly what changed. Use when other tools flag cached data as stale, or before acting on any cached fact (e.g. before bulk updates). This is the ""run a live check"" every stale flag refers to.",uptime check
1,20,compare_sites,fleet,1,5,974,"Side-by-side comparison of two LOCAL sites — shared and unique plugins, version differences, WordPress/PHP versions, theme differences, user counts and content volume. Works even when the sites are stopped. Local sites only. The structural record this tool compares is produced by Local's filesystem scan, so WP Engine installs and external SSH hosts have none and are declined — for local-vs-WPE drift use wpe_detect_drift instead. A site that has never been scanned is declined too; run reindex_site on it first. Reports when each side was last observed, and warns when the two sides differ in age by more than the freshness SLO (comparing fresh data against stale data is this tool's chief footgun).",drift detection across fleet
1,21,detect_drift,fleet,1,1,968,"Compare a baseline LOCAL site against other local sites to detect configuration drift — plugin version differences, missing or extra plugins, WordPress/PHP version mismatches. Use to keep a network of similar sites in sync. Works even when sites are stopped. Local sites only: WP Engine installs and external SSH hosts have no structural record and are declined. For local-vs-WPE drift use wpe_detect_drift instead. Also reports changes the intelligence ledger recorded over time (a different axis from the cross-site comparison) and reconciles the two detectors, flagging divergences neither one explains.",update-regression detection (JTBD 1)
3,22,nexus_pairing_proposals,nexus,1,0,554,"Suggest which WP Engine install each UNRESOLVED local site (see nexus_fleet_list) might belong to, from ledger evidence — shared domains (strong) or environment-style name pairs (weak). Proposals are information only and carry their evidence and confidence; nothing is ever linked automatically. To accept one, run the nexus_link_site call each proposal spells out. Sites Track-1 already resolved are never re-proposed.",
3,23,nexus_intelligence_health,nexus,1,21,544,"Report whether Nexus AI's background record-keeping is working: whether it started, what each source has recorded and how recently, whether anything is waiting to be processed, and whether the copy of your Access & Permissions settings still matches. Read-only — it measures and changes nothing. Use it when answers seem to be missing history or freshness notes, or when asked whether Nexus AI is recording.",
1,24,nexus_where_am_i,nexus,1,0,631,"Answer ""where am I?"" for a Local site: that it is a safe copy, which branch its code is on when that is on record, where its content was pulled from and how long ago, and the guarantee that nothing done here touches the live site. Call it when someone asks where they are, what they are working on, whether it is safe to change something, how old this site's content is, or what this copy is connected to. Read-only.",orientation read every session starts with
1,25,nexus_load_procedure,nexus,1,0,882,"Ask for the procedure that governs a capability (for example ""cap.bulk_plugin_update"") before doing work that needs it. Returns which procedure applies, its version, whether its steps are enforced in order, and what the platform is able to verify about each step — the procedure itself is delivered by the platform on your next turn, not in this result. Read-only, and it PERFORMS NO CHECKPOINT: nothing in its result means a step has been done, and you must not write until the procedure text arrives. Use it when a task looks like one a named procedure covers, or when a call was refused because a procedure was not armed.",gates safe execution of multi-step ops
1,26,local_list_sites,local,1,78,481,"List all WordPress sites in Local. Returns name, domain, status (running/halted), PHP version, and content index status. Use this for a quick overview of local sites, or before any operation that requires a site name or ID. For the unified view that includes WP Engine installs, use nexus_list_sites instead.PHP version, and content index status for each site. Sites are grouped by status.",inventory read
1,27,local_get_site,local,1,137,518,"Get detailed information about a specific local WordPress site — name, domain, filesystem path, status, PHP version, WP version, and content index state. Use nexus_list_sites to discover site names if unknown. For full plugin/theme/health details, use nexus_site_audit.Returns name, domain, path, status, PHP version, and content index status.",inventory read
2,28,local_start_site,local,2,72,525,"Start a local WordPress site and bring its services online (web server, database, PHP). Required before running any wp_* commands, local_wpe_pull, or local_export_site on a halted site. After starting, the site is accessible at its local domain. Check status with local_list_sites. If the site crashes on start, check logs with local_get_site_logs.",
2,29,local_stop_site,local,2,82,459,"Stop a local WordPress site and shut down its services. Frees system resources (RAM, ports) when the site is not needed. The site data and database are preserved — use local_start_site to bring it back. Do NOT stop a site mid-pull or mid-push — wait for operations to complete first.",
2,30,local_restart_site,local,2,106,436,Restart a local WordPress site by stopping and starting its services. Required after changing PHP version (local_change_php_version) or toggling Xdebug (local_toggle_xdebug). Also useful if the site becomes unresponsive — a restart clears stale connections.,
2,31,local_create_site,local,2,126,552,"Create a new local WordPress site with WordPress pre-installed. Default admin credentials are admin/admin — change immediately for any site that will be pushed to WPE. Optionally specify PHP version; defaults to Local current default. Site is created and started automatically. After creation, run wp_plugin_update --all to ensure plugins are current before doing any WPE pull.",
4,32,local_delete_site,local,3,32,849,"Tier 3 (destructive) — permanently delete a local WordPress site including all files and database. Requires confirmation token: call once to get the token, call again with _confirmationToken to proceed. trash_files=true (default) sends files to the OS trash; trash_files=false deletes immediately. WPE links are removed — this does NOT affect the linked WPE install. Export the site first with local_export_site if you need a backup.and requires confirmation.",
2,33,local_clone_site,local,2,23,618,Clone a local WordPress site — copies all files and database to a new site. LOCAL SITES ONLY. The source site must be running. The clone is independent — changes to either site do not affect the other. WPE links from the source are NOT copied — the clone starts unlinked. ASYNC: returns immediately. Poll local_operation_status every 20s until complete.,
3,34,local_export_site,local,2,0,877,"Export a local WordPress site to a zip archive (files + database). ASYNC: returns immediately. Poll local_operation_status every 20s until complete. The zip path is returned when done — it goes to ~/Downloads by default or the specified output_path. Use this BEFORE local_wpe_pull (to backup the current local state) or before bulk plugin updates (as a rollback point). The zip is compatible with local_import_site for restoration.Returns immediately with status ""in_progress"" — the zip is created in the background. Poll local_operation_status to track progress and get the final file path when done.",
3,35,local_change_php_version,local,2,0,599,"Change the PHP version for a local WordPress site. The site is automatically restarted to apply the change (~10s downtime). Common versions: 8.0, 8.1, 8.2, 8.3. After changing, run wp_site_health to catch any plugin compatibility issues. Match the PHP version to your WPE production install to avoid environment drift.",
3,36,local_trust_ssl,local,2,0,493,Trust the self-signed SSL certificate for a local WordPress site on this machine. Eliminates browser SSL warnings when accessing the site via https. Run once per site on each new machine. Requires admin/sudo password on macOS. This is a local machine setting only — it does not affect other users or WPE environments.,
3,37,local_toggle_xdebug,local,2,0,614,Enable or disable Xdebug PHP debugging extension for a local site. Requires a site restart to take effect — local_restart_site is called automatically. Enable when debugging PHP code; disable in normal use as Xdebug adds significant performance overhead. LOCAL SITES ONLY — WPE environments have their own debugging settings in the portal.,
3,38,local_rename_site,local,2,0,537,Rename a local WordPress site. Changes the site name visible in Local and used as the identifier for all tool calls. Does NOT change the site domain — use wp_search_replace if you need the domain to match the new name. The site does not need to be running for this operation.,
3,39,local_import_site,local,2,0,660,"Import a WordPress site from a zip file into Local. Accepts Local export zips, WP Engine backup zips, and generic WordPress archives. Creates a new local site with the imported files and database. Provide siteName to override the name derived from the zip. After import, run local_start_site then wp_search_replace to update domain references if needed.",
3,40,local_list_blueprints,local,1,0,368,List all available site blueprints (templates) that can be used to create new sites. Blueprints are saved via local_save_blueprint. Returns blueprint name and description. Use when the user wants to create a new site from a template rather than a blank WordPress install.,
2,41,local_get_site_logs,local,1,0,754,"Get log file contents for a local WordPress site — PHP errors, nginx access logs, or MySQL logs. Use logType=php (default) for WordPress/PHP errors, logType=nginx for HTTP request logs, logType=mysql for database errors. Returns the last N lines (default: 100). Use when a site crashes on start, returns errors after plugin updates, or throws 500 errors.",
1,42,local_operation_status,local,1,1262,733,"Poll the live status of a push, pull, or export operation on a local site. Call every 15–30 seconds after starting local_wpe_pull, local_wpe_push, or local_export_site. Returns status (in_progress / completed / failed), last_message (current phase), and recent_files (transfer progress). Do NOT move to the next step until status=completed. Do NOT use local_get_site for this — it only shows running/halted, not operation progress. If the MCP connection times out mid-transfer, that does NOT mean the operation failed — poll here to check real state.","plumbing for every async op; 1,262 dev calls"
1,43,wp_plugin_list,wp-cli,1,11014,932,"List all installed WordPress plugins with name, version, and status. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Use this before wp_plugin_update to see what needs updating, or before wp_plugin_install to check if a plugin already exists.","11,014 dev calls; update loop start"
2,44,wp_plugin_install,wp-cli,2,34,1436,"Install a WordPress plugin from WordPress.org by slug, optionally pinning a specific version. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Use version= to install an older or specific version (e.g. version=""5.7"" for Contact Form 7 5.7, version=""7.4.0"" for WooCommerce 7.4.0). Set activate=true to activate immediately after install. WordPress.org only — for premium plugins not on .org, upload the zip via WP Admin.",
2,45,wp_plugin_activate,wp-cli,2,33,950,"Activate an installed but inactive WordPress plugin. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Plugin must already be installed — use wp_plugin_install first if not.",
2,46,wp_plugin_deactivate,wp-cli,2,66,968,"Deactivate an active WordPress plugin without uninstalling it. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Deactivation is safe and reversible — use wp_plugin_activate to re-enable.",
1,47,wp_plugin_update,wp-cli,2,8,1129,"Update one or all WordPress plugins to their latest versions. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Use slug=""--all"" to update every plugin in one call. Run wp_plugin_list first to see installed versions. If a plugin fails to update, it may require a WP core update first — run wp_core_update then retry.",the update itself
1,48,wp_theme_list,wp-cli,1,78,922,"List all installed WordPress themes with name, version, and active/inactive status. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Use to confirm which theme is active, find outdated themes, or audit installed themes before removal.",update surface read
2,49,wp_theme_activate,wp-cli,2,0,1320,"Activate a WordPress theme by slug. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Runs with --skip-themes internally, so it works even when the currently active theme crashes WordPress on bootstrap (e.g. theme requires a newer WP API than is installed). Use this for crash recovery: switch to a compatible theme (twentytwentyone, twentytwentytwo) when the active theme prevents WordPress from loading. The theme must already be installed — use wp_theme_list to see available themes.",
1,50,wp_core_version,wp-cli,1,1019,952,"Get the current WordPress core version. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Use this before wp_core_update to see if an upgrade is available, or to confirm a version after updating. Also returns whether core update is available when site is running.",update loop read
1,51,wp_core_update,wp-cli,2,0,1188,"Update WordPress core to the latest version (or a specific version). Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Run wp_core_version first to see the current version. After updating core, re-run wp_plugin_update --all to catch any plugins blocked by WP version requirements.",core updates
2,52,wp_user_list,wp-cli,1,10647,904,"List WordPress users with their ID, login, email, display name, and roles. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Useful for auditing access, finding admin accounts, or identifying test users before cleanup.",
2,53,wp_option_get,wp-cli,1,84,1061,"Get a single WordPress option value by key from the wp_options table. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Common keys: blogname (site title), siteurl, home, admin_email, blogdescription. Use wp_search_replace to change option values like domain URLs.",
1,54,wp_site_health,wp-cli,1,52,950,"Run WordPress site health check — returns core version, database status, active theme, plugin/theme counts, and basic diagnostics. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Run this after plugin updates or before local_wpe_push to confirm no regressions.",WP-level health
2,55,wp_db_export,wp-cli,2,62,469,Export the WordPress database to a SQL dump file. LOCAL SITES ONLY — use wpe_create_backup for remote WPE database exports. Site must be running. Output path defaults to ~/Desktop/{site}-{timestamp}.sql if not specified.,migration workhorse (JTBD 10); 62 dev calls
4,56,wp_import_database,wp-cli,3,0,512,Import a SQL dump file into a local site database. LOCAL SITES ONLY. DESTRUCTIVE: overwrites the existing database — export first with wp_db_export if you need a backup. Site must be running. The SQL file must be accessible on the local filesystem.,
2,57,wp_search_replace,wp-cli,2,13,1382,"Run search-replace across the entire WordPress database — essential for domain migrations. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Defaults to dry_run=true (preview only, no changes made) — always run in dry-run first to confirm the replacement count. Set dry_run=false to apply changes. Handles serialized data correctly. Common use: after pulling a WPE site locally, replace the production domain with the local domain.",
3,58,wp_post_create,wp-cli,2,39,1221,"Create a new WordPress post, page, or custom post type. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Status defaults to draft — set status=publish to make it live immediately. Returns the new post ID on success.",
3,59,wp_post_update,wp-cli,2,9,1248,"Update an existing WordPress post, page, or custom post type by ID. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Only provided fields are updated — omitted fields are left unchanged. Use wp_eval on local sites (or wp_option_get) to find post IDs if unknown.",
